stemmed_and_stopword_translated_text,neg,neu,pos,compound,sentiment_label
hwana puki spirit om pay ukt,0.197,0.563,0.239,0.0772,positive
myfriend people ok yes yes yes yes thepeople yes yes yes yes yes yes yesterday newswhen yesterday,0.0,0.17,0.83,0.9781,positive
yes nowcandies hold thecontroversythatmydudepassesto getin tkipkkakkkakkkkakkkkkakt att kudududuktkkkkkkkkkkkkkkkkkkkkkkkkkkkkkt,0.0,0.722,0.278,0.4019,positive
annies polymic responsive college bump campus education itb lay issue borrowing online student pays single tuition,0.0,0.857,0.143,0.3612,positive
sbmptnfuss escaped snbt pick parents food moga easy oh god,0.0,0.615,0.385,0.6124,positive
tax program tapera went issue nettism flattened yes upss desperately see drakor dear life,0.138,0.582,0.28,0.4019,positive
draft apudium agustium hearing pay ukt semester,0.189,0.811,0.0,-0.1027,negative
cancel exchange free course benefits,0.202,0.202,0.596,0.5994,positive
tev n pe el failed expunging students via ukt rising tube tapera suffering people,0.368,0.632,0.0,-0.7506,negative
cnbcidonesyyeyaldulillah kipajonowi smg ukt ya pa uda patient get college okgas gas gas gas,0.0,1.0,0.0,0.0,neutral
ajiep sbmptnfuss ehh permit ask anjie p sbmptnfess yes yes yes katutu condition,0.0,0.526,0.474,0.7964,positive
studenthastotake lecture ipay herwell surrection insuranceforcorruption yetreceivedyes mypeoplehavetopay uktuktukt digholes,0.0,1.0,0.0,0.0,neutral
moga ukt support,0.0,0.426,0.574,0.4019,positive
frrykotochampourent notwith thepresidenthard,0.0,1.0,0.0,0.0,neutral
collegemenfass good trial sure result writing crevice cut let pay sem,0.223,0.446,0.331,0.4019,positive
try talking man going adore say issue money based ukt understands bash insist coming action party relevant understanding issue,0.0,0.73,0.27,0.743,positive
repost talk follow healthy money teaching real benefit ukmullyani college education tax free tax economy investment financial business money literiation iue ycvjpc,0.0,0.679,0.321,0.8402,positive
uns ukt ohlfibljz national tempo,0.0,1.0,0.0,0.0,neutral
polemics cost ukt state teacher expensive university muhammadiyah wantmere pay tuition result earth fruit banana seafish catch muprgiob,0.076,0.924,0.0,-0.1027,negative
zonevenomwar lives baton like president hard time,0.157,0.562,0.281,0.2732,positive
ugm fess try keep light ukt percentage semester well support document,0.0,0.652,0.348,0.5859,positive
ktiny paid lecture attz worried,0.355,0.645,0.0,-0.296,negative
erdy sr sami mawon mawon college student ga ukt,0.0,1.0,0.0,0.0,neutral
w gliller bgt layover ijo era layover krnn bzirr gapapa pay ukt doloeee tar rezeki boong bingo,0.085,0.915,0.0,-0.1027,negative
idextratime laughing pays ukt,0.0,0.484,0.516,0.4939,positive
tev n pe el ga direct gene z take stupid ya home urgent people ask open line work,0.177,0.729,0.094,-0.3818,negative
friend backed yesterday older brother already gone college paying attention,0.0,0.65,0.35,0.5106,positive
failed pass relevant script student loan issue ukt tempo,0.292,0.708,0.0,-0.5106,negative
opposite result ofmen drama ukt newsplayra vina amp amp focus peoplemissive target one dramasclose qkz team,0.0,1.0,0.0,0.0,neutral
think big birthday date think nice birthday think birthday,0.0,0.741,0.259,0.4215,positive
blackfurriez interests discussion cost ukt tapera,0.0,0.714,0.286,0.25,positive
age gap student age limit busy shouting,0.0,1.0,0.0,0.0,neutral
compass behind tapera ukt broke steady meennnnn,0.318,0.682,0.0,-0.4215,negative
exercising action demonstration state juni palace reject tapera rejects expensive krist ukt program opioy eym sound,0.291,0.64,0.069,-0.6705,negative
ramehudgestudystudy solution ukt go college needs tersier basickidsdied dekswhooncut lifeline mkk older brother shardbecausepeopleask,0.0,0.85,0.15,0.3182,positive
jpgs wonbinronda dad paid okt please,0.0,0.685,0.315,0.3182,positive
matter prebowo appointed president,0.0,0.732,0.268,0.0258,neutral
bike run,0.0,1.0,0.0,0.0,neutral
collegemenfess alhamdulill theni tthinkso ifreversereturntothe end payut cheap uktukt let sgo,0.0,1.0,0.0,0.0,neutral
dog tapera thinks people work old man sick lillits brother brother debt,0.367,0.633,0.0,-0.7003,negative
fess gaisntilight ukt script gottacut samn differentregaturely knotsorry yh,0.0,1.0,0.0,0.0,neutral
balance bank pay money buy money,0.219,0.781,0.0,-0.1027,negative
guess set gajetot bgt viral protest laiyo lawomg rk ceto bgt jergensine set desperate teapot kek hero kyk last canceled iuk iek duk least mng cancel sehhh smpe,0.186,0.708,0.106,-0.1779,negative
common practice,0.0,1.0,0.0,0.0,neutral
tax rose ukt funds tapera ruu pori siar fencing wake home long mister freeport contract etc wise news raiding,0.0,0.853,0.147,0.4767,positive
widassatyo trul maxi change sarapjotoupin ukt wowo gerat rightwoi changecontinue,0.0,1.0,0.0,0.0,neutral
may live drama love uukt tapera revision uu siar ruu pori kabul gugat change age future head gusmin try list juni let start,0.0,0.84,0.16,0.6369,positive
breaking news uns canceling utt yhyqttuwrm jtutcdfkz,0.0,1.0,0.0,0.0,neutral
way make fun choose paslon yesterday,0.0,0.602,0.398,0.5106,positive
ithankfullylivethecampusholdthesistence ofthefamily regulate studenthelpshelpmyworks semesterby chatin clear man,0.0,0.729,0.271,0.3818,positive
relax legislatesweets ukt set age minimum tapera handshake pbb tax dutch etc baakl ugal,0.0,0.818,0.182,0.4404,positive
pointman doesnotreturnto matkul pass alhamdulillahwistiful caro uktt,0.0,1.0,0.0,0.0,neutral
pass semester juni hearing let pay spirit music script,0.139,0.693,0.168,0.0772,positive
oh god,0.0,0.323,0.677,0.2732,positive
nanlarre paying ukt mention,0.0,1.0,0.0,0.0,neutral
jenneishaahuhuhu ranuhu ranjukan unukt prophetadam alhamdulillah havebeendone ok,0.0,0.761,0.239,0.296,positive
cool compass grand design hbs ukt tapera issue cover issue passing conditional conditional pill scroll issue set religious greeting cover ukt tapera corruption gold lead asshole,0.0,0.744,0.256,0.7845,positive
sane ashes student demo ukt bivitri teacher mukt,0.0,1.0,0.0,0.0,neutral
find something cover issue corruption fake lead really make religious disrepute,0.237,0.763,0.0,-0.4767,negative
mine corruption broke pancasil,0.483,0.517,0.0,-0.4215,negative
wow wise papa,0.0,0.127,0.873,0.7845,positive
wisdom ukt taperachat double community middle class ee ogmeq,0.0,0.702,0.298,0.5267,positive
sumitroyoel inflation bosses mess ken look news uk uk kukco wes esir cost education cheap cost living cheap,0.128,0.872,0.0,-0.3612,negative
university general soedirman unsoed broke canceling single college fee ukt candidate student exlgifqcm,0.189,0.811,0.0,-0.4215,negative
mind looking,0.0,1.0,0.0,0.0,neutral
colloseuum expensive funding kakt kakyanya seriously kak,0.221,0.779,0.0,-0.1779,negative
polemic state college ufuahqdnhc,0.0,1.0,0.0,0.0,neutral
vip expensive ukt w studio digs promoter,0.0,0.602,0.398,0.5106,positive
doctortifapure pki communieyou rebelonged amp paythe taxcutsupped uktuppinsubsidi croni,0.0,1.0,0.0,0.0,neutral
great archive joke ormas base student turn going think coup,0.0,0.559,0.441,0.743,positive
tev n pe el bumn corruption,0.0,1.0,0.0,0.0,neutral
hobby hobby hobby,0.0,1.0,0.0,0.0,neutral
excuse yesterday alternative ukt x cicil pencil uas paid consequences yes pay safe uas ya fear name appear teacher entry value,0.165,0.502,0.333,0.5719,positive
baizhoi ugm fess sorry mean get money sorry,0.302,0.698,0.0,-0.1531,negative
wonbinronda sungchanpov dad paid okt ya,0.0,1.0,0.0,0.0,neutral
andrewstjan cover dotcom point education raised debt capital,0.263,0.737,0.0,-0.3612,negative
one side graduation also cost semester,0.0,1.0,0.0,0.0,neutral
destroyed seed jonowi seeds crushed prebowo ukt police honestly sought police j nq b gff,0.316,0.526,0.158,-0.4588,negative
hohahahahahahahaaaa right topassugm opsystempopdodolmi chicken aelahhh,0.0,1.0,0.0,0.0,neutral
msaidduid unloadsuncharged hardto sue suprequired asthecostsofan expensivelast time butthelimendstofinitsto finish surreviewof whomightlifefirstbehard,0.0,1.0,0.0,0.0,neutral
escaped snbt select thank,0.0,0.545,0.455,0.3612,positive
wwkk teacher guktemang emang semester sachievable goji,0.0,1.0,0.0,0.0,neutral
andrew got dog uttt expensive taxes badly,0.341,0.659,0.0,-0.4767,negative
yongyea pay ukt microtransaction wmosu xn,0.219,0.781,0.0,-0.1027,negative
yyyyyy rms keepss payukt,0.0,1.0,0.0,0.0,neutral
ersmak tempodotco satisfied electric rice ukt tapera dll climbs wkwkw,0.0,0.763,0.237,0.4215,positive
mom graduated profession yeah expensive plus piro seko saiki,0.0,0.784,0.216,0.296,positive
think students need graduation let get sick obscenity gin college,0.268,0.732,0.0,-0.5106,negative
prabowo ukt attitude student ptn op qzea,0.0,1.0,0.0,0.0,neutral
command cancels rising ukt student relief ac dspu z,0.173,0.545,0.282,0.296,positive
go people university friends sabi area stopped kpaawxxixp,0.173,0.545,0.282,0.296,positive
msaid ukt arise tapera issue child pills evidence went ukt tapera cancel,0.154,0.846,0.0,-0.25,negative
thasissuffering zero age action pay wage back yesterday children children homelines got high goong ukt,0.091,0.909,0.0,-0.1027,negative
sure able pay,0.298,0.213,0.489,0.2263,positive
college man told hope price,0.0,0.58,0.42,0.4404,positive
country empty cash loads people filling lwt like yesterday sector rame ukt tapera bbml gas elpiji well spri mulyani salary causing human conscience see ri ppxcjnrzrn,0.061,0.782,0.156,0.4215,positive
geloracoworkersound ukt student playgame,0.0,1.0,0.0,0.0,neutral
ugm fess know ya valid lift jt daoat ukt high goong ukt low hit,0.131,0.75,0.119,-0.0516,negative
full bell straight ukt luxuriant,0.0,0.678,0.322,0.2263,positive
um fess yes um fes,0.0,0.597,0.403,0.4019,positive
know yesterday demo laughing,0.0,0.484,0.516,0.4939,positive
ukt ruu siar ruu tni ruu pollri tapera guys,0.0,1.0,0.0,0.0,neutral
cnni indonesia play ukt amp taperared futurechild pnk da cpe hsfqbt,0.0,0.806,0.194,0.34,positive
cover dotcom ukt tapera haji core funds ursdwrbzyov money loss,0.204,0.796,0.0,-0.3182,negative
told college facility bought clean machines way parking lot,0.0,0.748,0.252,0.4019,positive
work wdyt ortu sender cm pay ukt jt cost half day,0.114,0.732,0.154,0.128,positive
mean waiting men release hearing,0.0,1.0,0.0,0.0,neutral
president selects prabowo attitude ukt mahisis ptn prabowo ukt wtfffwj,0.0,1.0,0.0,0.0,neutral
messagestateresulted intentlybreakuppeople uktwatersubsidi discountd aged leadslong freeportexpireampirest ikn throwinjonowigo die,0.302,0.698,0.0,-0.5994,negative
stupidsbyudhoyono democratic parliament talks watch democratic parliamentary tv talk loud ukt tax bbm know fool,0.172,0.828,0.0,-0.4404,negative
ukt cost culprit protege upi sundonews education md nlbend capdg oagm,0.0,1.0,0.0,0.0,neutral
crowd ukt college upi bandung adem ayem student big check tuition corner lmrimh qps hxprhwxn nyu jki,0.0,1.0,0.0,0.0,neutral
unemployed paying rent,0.0,1.0,0.0,0.0,neutral
want stingy friends,0.371,0.0,0.629,0.2023,positive
collegemenfess like yesterday even know help get paid,0.0,0.536,0.464,0.6369,positive
ukt tapera end evaluation delay saw broken issue later changed age limit mega fiscality gold lead antam jonowi kspgoid dpr ri,0.221,0.779,0.0,-0.6597,negative
see pov positive concerns ruu siar ruri ruu tapera syl corbrut corrupt ukt,0.0,0.769,0.231,0.5574,positive
convomf okt private class ac subang cold times mountain foot,0.0,1.0,0.0,0.0,neutral
believe ukt national democracy greeting guys seen news adrenalism go believe legalization law go ump medidibud uu pt ukt ukt ukjak pn gto ux,0.0,0.898,0.102,0.3818,positive
inkmenfess expensive man,0.0,1.0,0.0,0.0,neutral
amorindou ukt ukt,0.0,1.0,0.0,0.0,neutral
light middle class wise class hirau scale priority,0.0,0.693,0.307,0.4767,positive
gbblgninfaedh see golong ukt,0.0,1.0,0.0,0.0,neutral
bubbleppong yis pay view ukt,0.259,0.741,0.0,-0.1027,negative
try crosschek failed,0.623,0.377,0.0,-0.5106,negative
venticoup trialya payinukt,0.0,1.0,0.0,0.0,neutral
dips detail counters change low get away,0.259,0.741,0.0,-0.2732,negative
bubbleppong aiaaii kidkpay ukt,0.0,1.0,0.0,0.0,neutral
xquitavee jonowi mypertaminaid attempt country brati money surplus search people funds raise taxes ukt create tapera bla bla,0.0,0.89,0.11,0.2732,positive
know wine level maximum life span candidate weird age wine,0.159,0.841,0.0,-0.1779,negative
wkwkwkwek kocakkkkok sayyou tableuktuniv,0.0,1.0,0.0,0.0,neutral
pay year rick shirt,0.318,0.682,0.0,-0.1027,negative
fool attempt students sense teacher country front fee gone,0.266,0.734,0.0,-0.4404,negative
ukt tapera obliged break th mk brother brother,0.0,1.0,0.0,0.0,neutral
brickwastaukt yes,0.0,0.27,0.73,0.4019,positive
college buddy big fan girlfriends elites friend money big fan lifestyle,0.0,0.506,0.494,0.7783,positive
thought war messed country missed mp ukt tapera amp yaqxahjm z,0.548,0.452,0.0,-0.8176,negative
troubleformsofhisyoungman sprecedents supremestrate uct ridethedupasshomingtuitionsof freefood,0.0,1.0,0.0,0.0,neutral
help city orders worth paying got million top,0.0,0.439,0.561,0.6597,positive
ukt ipb menfass annoying hope birthday dikagetin,0.255,0.472,0.274,0.0516,positive
napuamanda prebowo subianto supports strong proteges fertilization issue ukt step mirror vision tutored inclusive,0.0,0.585,0.415,0.7783,positive
wise napapanda prabowo subianto ukt real liver access educational bright step indonesia,0.0,0.625,0.375,0.7184,positive
paooapaoopay uktyaapaoo uktyaapaoo ya,0.0,1.0,0.0,0.0,neutral
ub uktgoal ifit sdeed aftera semester gonnagetalittlework stregular,0.0,1.0,0.0,0.0,neutral
customs style democrazymedia abacus model failed,0.398,0.602,0.0,-0.5106,negative
hestronaut intends pay children student ukt,0.219,0.781,0.0,-0.1027,negative
convomfgada money gada gada workright uktsmesteran regulatedbombhuuuaaa ah,0.0,1.0,0.0,0.0,neutral
insults regime orders campus order pride month goes,0.25,0.536,0.214,-0.1027,negative
animal function people representative dpr ri fact justeru favor proceeds go price tapera ukt bpjs u change age pig dpr amp free reality share ri,0.0,0.719,0.281,0.802,positive
ukt match goal dips,0.0,1.0,0.0,0.0,neutral
um fess directly meeting tkkdg k k k k k k kakt,0.0,1.0,0.0,0.0,neutral
cover dotcom mean anything gon na take lot money pay back tax list,0.104,0.896,0.0,-0.1027,negative
askrlfes simpent simpent templeststtstupresservesert rempentst referredtoremoved injureduestaltraured andalalllettspay butan account doesnotuntal accessreversed removed,0.0,1.0,0.0,0.0,neutral
metro tv jockeyi reasonable price please forgive getting age please understand,0.0,0.544,0.456,0.6908,positive
um dean fess aiming kipk mission,0.0,1.0,0.0,0.0,neutral
morning filltheearly friendfriends yes yes willbegood,0.0,0.426,0.574,0.6597,positive
duerl ukt expensive problematic isgratin yo ukt,0.326,0.674,0.0,-0.4404,negative
pasundhamzzoriginalwrassage uktbjir,0.0,1.0,0.0,0.0,neutral
richisfactory profit ukt osspect etc wait money,0.0,0.674,0.326,0.4404,positive
hang curved circle points brought bodoamatin ji sunbae yesterday yesterday,0.0,1.0,0.0,0.0,neutral
drakkxen please pay ukt,0.246,0.351,0.404,0.2263,positive
good expensive building bus,0.0,0.508,0.492,0.4404,positive
mr kyt brother tapera ukt smua issue issue ntkrlabui msyrkt bottom hammer age brother kaesang mncalonkan kpala area deception,0.139,0.861,0.0,-0.4404,negative
pay dog,0.583,0.417,0.0,-0.1027,negative
radioelshinta clear people lost day price corruption forced tapera maruk regime break law play quietly laughing joget dongo,0.2,0.491,0.309,0.4404,positive
dslight info ukt smt howsesendergivessmemortu hrus paycost umtbight,0.0,1.0,0.0,0.0,neutral
democrazymedia going set alarm charge cost electricity selling corruption execution law fair,0.163,0.68,0.156,-0.0258,neutral
richisfactory paid ukt,0.0,1.0,0.0,0.0,neutral
daxnyadown ukt advocare followedthemightywayaloneno,0.0,1.0,0.0,0.0,neutral
wonder corpri members hard time least help low aspirations,0.49,0.51,0.0,-0.5801,negative
epicentrum problem nation court corrupts gold mine,0.31,0.69,0.0,-0.4019,negative
xquitavee jonowi mypertaminaid gin mulu impact people sembako expensive bbm ukt expensive,0.0,1.0,0.0,0.0,neutral
anddhy laksono demo thousand thursday laborers jun gerrukuk palace jkt withdraw uu tapera slave party president said iqbal thrmsuk tung krist bpjs uukrenker ukt pzfwdyq fx,0.0,0.903,0.097,0.4019,positive
general sbmptnfess pass general large ukt,0.0,1.0,0.0,0.0,neutral
noabsen um fess naturally sceptic uncircumcision fund ukt stomach,0.2,0.8,0.0,-0.25,negative
cindetr gedein bit jt ukt,0.0,0.678,0.322,0.2263,positive
kegblgninfaedh gausah thinks noh tapera ukt revision age hook candidate head section etc,0.0,1.0,0.0,0.0,neutral
last night sound game loud supposed use aing bomb script wear end semester bothered demon plss cares,0.244,0.622,0.133,-0.3612,negative
ugm fess discusss viral ukt tapera etc,0.0,1.0,0.0,0.0,neutral
pngdinrkyteye bewarefocus uktamp taperapok poil severe content foil qdkcq hw,0.224,0.776,0.0,-0.3818,negative
iamprasprasetja btw ukt mapsi bomb change,0.39,0.61,0.0,-0.4939,negative
demo nepotism busy middle tape know talking,0.0,1.0,0.0,0.0,neutral
neighbor bought money mff pay money heavy,0.189,0.811,0.0,-0.1027,negative
gusyy yamgakan file ukt bomb fear stay,0.561,0.439,0.0,-0.7506,negative
amalmuziffar umuzaffar uktpret studentlevel smachange uh makiepthestar hotel wearingsarap backto envelopethebrain marimamdamdambuudri dikkankdu g,0.0,1.0,0.0,0.0,neutral
ifyoudon twatchtimes,0.0,1.0,0.0,0.0,neutral
invites girlfriend people license plates go ukt,0.0,1.0,0.0,0.0,neutral
students screaming takes people lives hard keep quiet,0.4,0.6,0.0,-0.4588,negative
convomf wkwkwkkk trung remember time maba na tellki bde ko tabe tabe frontna tabe lngngngsung call edd kk vat one costs uk snior tolo,0.0,0.902,0.098,0.3612,positive
collegemenfess sure parents long pay view,0.182,0.519,0.299,0.2263,positive
white sand facts roomy taxes ukt dpn electrical tapera add command positions constitution,0.0,1.0,0.0,0.0,neutral
college old school pride breaking like freak shame,0.403,0.268,0.329,-0.2732,negative
yes igirate tran ukt tapera etc etc uhhh nongoligi igirialyhonosrem kirah hiiks ga axbygpe,0.0,0.828,0.172,0.4019,positive
sahal cholilnafisifyoudon ttie youdon tfollowthe quranoftheprophet also mindyour guides,0.0,1.0,0.0,0.0,neutral
wididaba cnbci indonesia prebowo mkkkkukupin yak,0.0,1.0,0.0,0.0,neutral
zy zy sila pack go receive free lunch protest ukt tapera go write valid info kadrun join gan kadrun support,0.076,0.611,0.313,0.7351,positive
comparison college science school thinking ukt transum jam work due tax cut tapera thinking working overtime boss got beaten got fired,0.321,0.679,0.0,-0.8176,negative
mark order failed people tax tax malt malak employee tapera tube suffering people uhrxkeu fj,0.33,0.67,0.0,-0.7506,negative
sirrlfestoldthenepotisne iti danger chosensertsumnestestestimatethat snotthelight ofthecur ukt tapera discrising,0.298,0.702,0.0,-0.5267,negative
bem fhisip unram guard cancel ukt qoqbjxvjz,0.25,0.75,0.0,-0.25,negative
hashiromui indonesia worries literary curriculum brother qualified change matched zmn orba gk atw zmn voc zmn king atw create trends,0.122,0.786,0.092,-0.1779,negative
student malak command ukt malak tapera employee indonesia,0.0,1.0,0.0,0.0,neutral
kaleidoscope wiken ruu extreme wise end frog regime command ruu polkis ni siar ukt pending year tapera break gercep sblm install,0.0,0.866,0.134,0.4767,positive
narration tapera ukt ukm electric chest lost believes wisdom quiet road among fun people,0.115,0.55,0.335,0.6597,positive
outofuprespondentsupprise sufferable towork indonesianhonor semnor recordradispendent worksmoduetotheslowsamnors thismaaaah hoahahah hoah hoah,0.0,1.0,0.0,0.0,neutral
usugedebatyes ukkwkwkwkwkwkkkk blcidatlj,0.0,1.0,0.0,0.0,neutral
cabn sbmptnfessblomttttrial country ucthighestbusnetconnection ifsodos sapir umr,0.0,1.0,0.0,0.0,neutral
naz lira listyosigtip divhumas pori ahriesonta whose mind crossed children schools good pay college expensive ukt,0.077,0.765,0.158,0.3612,positive
convert cv balance service pay self test service pay pmb uny penmaptkin service pay bill service pay bill service pay bill via virtual account va compunking self contained chat wa bio wa yaa zoneang,0.194,0.806,0.0,-0.4588,negative
johancassells derymars kgblgnanunfaedh graduate newsof freeeatingsofschool ajhacomplentday kkkkkkkwkawkwakkakkakkakakakakkakakakkakak,0.0,1.0,0.0,0.0,neutral
xquitavee jonowi let demo workers kak ukt disbarred mukidi g hesitate fight lengserin sbm okt,0.281,0.719,0.0,-0.5719,negative
prabowo attitude ukt student ifjj fsu e,0.0,1.0,0.0,0.0,neutral
hotel college associate crazy,0.444,0.556,0.0,-0.34,negative
kikysa daughter duh people anies say time pxl pxl mk uu ukt tapera die instead talking nonsense,0.306,0.694,0.0,-0.765,negative
mosianek diegochuene lesi sing abishulumyo esibenza tunge ukt abelungu banenda nabo,0.0,1.0,0.0,0.0,neutral
